INDEX,TRACK ID,VALID,UTC DATE,UTC TIME,LOCAL DATE,LOCAL TIME,MS,LATITUDE,N/S,LONGITUDE,E/W,ALTITUDE,SPEED,HEADING,G-X,G-Y,G-Z
34,1,FIXED,2018/3/22,0:9:15,2018/3/21,21:9:15,400,26.316778,S,48.833604,W,26.818806,3.063764,153.232954,0.000000,0.000000,0.000000
35,1,FIXED,2018/3/22,0:9:20,2018/3/21,21:9:20,400,26.316822,S,48.833579,W,27.005381,2.579433,168.628997,0.000000,0.000000,0.000000
36,1,FIXED,2018/3/22,0:9:25,2018/3/21,21:9:25,400,26.316841,S,48.833575,W,26.219696,0.580888,331.577146,0.000000,0.000000,0.000000
37,1,FIXED,2018/3/22,0:9:30,2018/3/21,21:9:30,400,26.316826,S,48.833584,W,24.653954,0.922579,63.591934,0.000000,0.000000,0.000000
38,1,FIXED,2018/3/22,0:9:35,2018/3/21,21:9:35,400,26.316819,S,48.833568,W,24.812683,0.147485,343.247022,0.000000,0.000000,0.000000
39,1,FIXED,2018/3/22,0:9:40,2018/3/21,21:9:40,400,26.316814,S,48.833569,W,24.856510,6.013440,347.501010,0.000000,0.000000,0.000000
40,1,FIXED,2018/3/22,0:9:45,2018/3/21,21:9:45,400,26.316787,S,48.833576,W,24.834290,1.424102,181.520746,0.000000,0.000000,0.000000
41,1,FIXED,2018/3/22,0:9:50,2018/3/21,21:9:50,400,26.316801,S,48.833576,W,22.875092,0.926194,118.066126,0.000000,0.000000,0.000000
42,1,FIXED,2018/3/22,0:9:55,2018/3/21,21:9:55,400,26.316803,S,48.833571,W,21.413885,2.071532,183.942680,0.000000,0.000000,0.000000
43,1,FIXED,2018/3/22,0:10:0,2018/3/21,21:10:0,400,26.316822,S,48.833572,W,21.485310,1.202974,255.665547,0.000000,0.000000,0.000000
44,1,FIXED,2018/3/22,0:10:5,2018/3/21,21:10:5,400,26.316823,S,48.833577,W,21.288088,0.203740,336.915459,0.000000,0.000000,0.000000
45,1,FIXED,2018/3/22,0:10:10,2018/3/21,21:10:10,400,26.316815,S,48.833581,W,21.392694,0.736447,312.641702,0.000000,0.000000,0.000000
46,1,FIXED,2018/3/22,0:10:15,2018/3/21,21:10:15,400,26.316797,S,48.833603,W,21.587257,1.786398,300.921423,0.000000,0.000000,0.000000
47,1,FIXED,2018/3/22,0:10:20,2018/3/21,21:10:20,400,26.316780,S,48.833635,W,21.697128,2.829934,316.156858,0.000000,0.000000,0.000000
48,1,FIXED,2018/3/22,0:10:25,2018/3/21,21:10:25,400,26.316748,S,48.833669,W,21.628441,2.382573,286.067430,0.000000,0.000000,0.000000
49,1,FIXED,2018/3/22,0:10:30,2018/3/21,21:10:30,400,26.316740,S,48.833698,W,21.192759,1.290293,285.502535,0.000000,0.000000,0.000000
50,1,FIXED,2018/3/22,0:10:35,2018/3/21,21:10:35,400,26.316731,S,48.833738,W,20.643404,2.814055,292.502486,0.000000,0.000000,0.000000
51,1,FIXED,2018/3/22,0:10:40,2018/3/21,21:10:40,400,26.316717,S,48.833775,W,20.292934,2.895797,314.469846,0.000000,0.000000,0.000000
52,1,FIXED,2018/3/22,0:10:45,2018/3/21,21:10:45,400,26.316698,S,48.833796,W,19.977791,1.428913,86.000814,0.000000,0.000000,0.000000
53,1,FIXED,2018/3/22,0:19:48,2018/3/21,21:19:48,0,26.316566,S,48.831688,W,18.709419,1.055186,260.507708,0.000000,0.000000,0.000000
54,1,FIXED,2018/3/22,0:19:53,2018/3/21,21:19:53,0,26.316701,S,48.832585,W,23.391855,2.604215,260.539901,0.000000,0.000000,0.000000
55,1,FIXED,2018/3/22,0:19:58,2018/3/21,21:19:58,200,26.316846,S,48.833558,W,10.263212,2.083987,80.015558,0.000000,0.000000,0.000000
56,1,FIXED,2018/3/22,0:20:3,2018/3/21,21:20:3,200,26.316544,S,48.831643,W,52.232410,2.035292,258.904112,0.000000,0.000000,0.000000
57,1,FIXED,2018/3/22,0:20:8,2018/3/21,21:20:8,200,26.316795,S,48.833072,W,21.591499,1.270866,268.107504,0.000000,0.000000,0.000000
